region_name,region_population,avg_rainfall_mm,soil_quality_index,temperature_celsius,major_crop_type,crop_area_hectares,crop_yield_tonne,fertilizer_demand_kg,pesticide_demand_litre,seed_demand_kg,irrigation_need_index,market_price_index,agri_infrastructure_score,subsidy_level
Himachal Pradesh - Hills District 87,18353,1474.6,47.4,30.6,Wheat,30.5,144.55,3535.1,44.98,1422.5,39.8,105.5,33.2,30.0
Jharkhand - Coastal District 88,39169,1352.2,65.5,23.9,Wheat,46.2,274.56,4177.8,64.47,2369.2,45.3,109.2,54.6,25.9
Assam - West District 89,30845,980.7,60.5,24.9,Rice,32.4,122.47,4637.1,73.42,1301.7,73.4,101.8,53.3,23.9
Jammu & Kashmir - Valley District 90,47391,1280.9,25.9,29.0,Maize,87.5,714.02,14139.8,222.38,1725.0,45.0,86.2,24.5,24.5
Assam - Hills District 91,28033,1063.1,75.1,24.2,Pulses,50.2,75.66,2009.1,27.97,1662.9,82.8,101.8,43.9,39.8
Ladakh - Plateau District 92,35099,1501.5,59.3,24.1,Pulses,59.1,176.67,2392.6,51.87,1873.6,37.4,110.6,65.6,39.1
Sikkim - Delta District 93,97826,1048.0,75.6,22.9,Rice,166.9,970.14,19592.5,330.37,5937.7,58.6,111.1,76.4,0.0
Meghalaya - Central District 94,23528,1173.3,88.7,28.7,Rice,45.7,271.01,4927.2,76.57,1850.0,66.9,111.5,64.9,38.8
Kerala - Coastal District 95,23447,200.0,58.2,26.9,Pulses,47.3,26.34,1848.6,24.21,1385.9,96.3,89.5,38.9,17.0
Gujarat - Coastal District 96,14146,1115.2,36.8,23.5,Pulses,30.0,32.0,1459.1,21.68,991.9,54.0,101.7,65.6,28.2
Uttar Pradesh - South District 97,95947,1348.4,65.0,22.0,Maize,172.9,1484.6,20086.3,660.59,3711.0,45.6,109.2,49.9,0.0
Puducherry - Rural District 98,5951,635.8,86.2,29.2,Maize,30.0,136.23,2084.9,84.01,612.9,94.8,98.3,46.4,35.8
Manipur - Delta District 99,30775,1526.9,46.8,24.6,Rice,52.9,350.51,7113.0,147.14,2336.9,52.0,102.6,65.1,0.0
Uttarakhand - North District 100,12571,717.5,88.7,28.7,Wheat,30.0,121.9,2389.1,38.78,1486.0,75.9,109.5,54.6,27.8
Jharkhand - Urban District 101,40598,1061.4,62.1,27.2,Pulses,68.4,105.74,2605.6,36.16,1951.9,69.6,110.2,53.4,22.1
Meghalaya - Hills District 102,19507,1283.4,42.5,21.5,Pulses,30.0,45.85,1526.4,19.22,929.9,61.4,106.6,54.9,18.1
Kerala - East District 103,62999,1757.0,67.6,27.8,Pulses,102.7,287.64,4722.6,78.49,3279.8,36.3,120.9,63.9,9.7
Goa - Rural District 104,105041,841.4,60.3,25.3,Wheat,187.0,569.8,20284.1,184.55,10294.5,66.7,101.0,88.1,0.0
Maharashtra - Coastal District 105,5692,936.2,47.2,28.6,Maize,30.0,185.34,3864.1,102.59,648.8,65.5,125.2,52.3,50.3
Uttar Pradesh - Delta District 106,9943,900.7,33.0,30.8,Rice,30.0,91.96,4474.4,54.92,1194.9,78.3,118.8,64.3,54.0
Tripura - Hills District 107,119782,810.1,56.9,18.1,Wheat,124.6,397.23,13715.3,181.29,5359.7,88.7,123.6,91.0,0.0
Tripura - Plateau District 108,3012,1599.1,77.5,21.6,Pulses,30.0,58.89,1132.6,20.2,878.6,44.6,96.6,43.7,60.0
Tripura - Plains District 109,18683,1361.4,63.1,27.8,Wheat,30.0,164.3,3255.1,44.89,1486.4,50.8,103.9,39.9,33.2
Puducherry - Rural District 110,14212,1145.6,77.8,26.3,Wheat,30.0,98.77,2919.2,44.22,1482.5,53.1,84.3,41.4,39.3
Jharkhand - Coastal District 111,12295,1172.4,65.2,23.2,Maize,30.0,182.91,3841.1,104.86,643.0,52.0,125.0,59.9,16.5
Goa - Urban District 112,22548,1518.7,79.3,25.6,Wheat,43.5,219.26,3820.9,63.48,2079.9,44.3,117.5,57.9,29.7
Haryana - North District 113,16782,1120.9,56.1,27.5,Pulses,30.0,53.55,1308.3,19.18,925.1,51.7,101.9,38.9,20.9
Odisha - East District 114,56097,818.0,96.0,22.6,Rice,90.1,572.39,8041.5,195.54,3312.6,76.1,101.4,45.9,8.9
Odisha - West District 115,41922,1171.5,48.9,28.5,Maize,88.7,530.37,12698.0,229.73,1600.9,35.7,119.1,63.2,19.5
Chhattisgarh - Coastal District 116,7051,1793.3,42.4,24.2,Maize,30.0,279.21,3903.2,107.62,614.4,47.9,107.8,42.6,45.1
Tripura - West District 117,17995,879.7,70.7,23.9,Rice,30.0,190.4,3852.7,74.86,1085.9,70.2,105.7,32.6,7.5
Puducherry - Urban District 118,18503,1132.3,70.5,28.5,Pulses,30.0,48.9,1124.5,18.55,842.1,52.1,118.1,28.6,31.0
Bihar - Delta District 119,15908,970.5,61.6,19.0,Pulses,30.0,84.84,1608.1,19.72,875.9,68.2,106.5,14.3,34.5
Chhattisgarh - Plateau District 120,90361,1465.1,79.4,28.8,Rice,156.4,1170.25,16887.3,462.19,6077.7,54.8,119.6,63.5,0.0
Assam - North District 121,33928,1629.0,61.7,24.0,Maize,50.3,413.56,5504.9,172.59,926.6,58.7,105.0,61.9,0.0
Arunachal Pradesh - Plains District 122,20269,1331.7,33.5,22.6,Pulses,30.0,112.89,1354.1,21.55,852.0,37.6,103.3,47.2,24.3
West Bengal - South District 123,24920,999.0,30.3,30.7,Maize,44.5,292.73,5663.9,119.74,845.5,46.5,106.8,36.6,3.3
Kerala - Coastal District 124,51318,1138.1,26.3,22.6,Maize,67.0,440.01,9098.9,144.98,1463.1,49.1,85.0,51.1,4.2
Assam - Plateau District 125,21672,1053.1,29.8,32.0,Rice,32.6,153.63,5468.8,71.56,1298.0,58.3,88.9,59.2,32.6
Odisha - East District 126,16581,974.3,41.3,23.2,Maize,41.0,272.2,5707.0,129.22,794.3,58.5,92.5,48.9,29.9
Gujarat - North District 127,12975,1080.3,64.8,28.2,Maize,30.0,193.55,3557.6,88.78,601.6,63.3,116.4,24.5,52.7
Kerala - Rural District 128,28061,1110.9,50.1,24.2,Rice,41.5,250.1,5885.9,109.96,1538.3,66.7,110.5,40.3,31.8
Andhra Pradesh - Plateau District 129,7772,1081.6,83.8,27.0,Wheat,30.0,198.69,2646.6,52.25,1440.8,44.7,99.7,39.1,33.6
Uttar Pradesh - North District 130,15503,1404.8,58.1,27.2,Rice,30.0,215.83,4212.1,80.37,1203.2,50.7,106.2,31.1,36.2
Jammu & Kashmir - Plateau District 131,118773,1144.4,72.8,29.3,Wheat,168.4,833.21,15598.0,316.4,8454.8,45.5,100.3,98.8,0.0
Nagaland - West District 132,115233,988.5,34.5,20.5,Maize,185.2,843.52,24793.6,562.7,3417.2,66.7,93.4,64.3,0.0
Jharkhand - Plains District 133,5848,1574.0,65.9,24.7,Wheat,30.0,173.23,2841.8,50.82,1543.4,45.2,101.5,59.0,24.3
Sikkim - Delta District 134,12009,876.8,75.0,24.9,Pulses,30.0,55.76,1117.0,22.59,919.5,48.8,96.3,29.3,40.6
Tamil Nadu - Delta District 135,16414,1404.6,53.8,29.5,Maize,31.5,205.28,3756.6,118.03,670.9,45.3,99.8,43.1,47.6
Jammu & Kashmir - East District 136,68509,1291.7,62.3,19.7,Wheat,109.5,711.5,8968.8,192.08,5073.6,47.5,93.5,62.9,10.7
Gujarat - Urban District 137,5157,409.9,76.5,17.9,Rice,30.0,129.15,3363.2,50.95,1295.5,82.2,104.0,61.6,28.4
Haryana - Central District 138,26094,807.4,20.0,32.1,Maize,43.4,143.42,5876.3,107.31,846.6,82.5,100.9,50.6,2.7
Rajasthan - Hills District 139,13514,1706.7,67.9,21.9,Rice,30.0,250.25,3568.1,57.89,1357.5,37.2,99.7,38.3,44.2
Rajasthan - Delta District 140,17487,1452.1,72.1,28.4,Rice,30.0,221.41,3683.2,75.17,1298.4,45.3,87.0,30.1,38.2
Maharashtra - South District 141,73121,200.0,63.7,29.8,Maize,93.0,414.93,8854.1,271.22,1830.9,90.7,100.5,52.0,0.0
Ladakh - South District 142,13773,446.1,87.1,22.4,Rice,30.0,102.03,3390.1,56.23,1206.1,79.2,98.4,55.5,38.0
Uttar Pradesh - Hills District 143,50909,904.1,43.3,26.7,Wheat,88.5,361.09,9457.1,120.74,4710.9,64.9,120.4,71.9,0.0
Chhattisgarh - East District 144,34643,1317.3,84.3,19.7,Wheat,60.8,282.88,5528.9,81.35,3131.3,59.1,97.1,41.3,24.0
Odisha - North District 145,13834,936.7,67.2,26.9,Rice,30.0,192.45,4021.6,81.11,1138.7,75.4,98.3,44.2,52.5
Uttar Pradesh - Urban District 146,34809,773.3,71.7,27.1,Maize,48.2,306.72,4232.0,89.17,954.8,76.1,101.4,48.2,13.2
Jharkhand - South District 147,14479,922.5,17.1,27.0,Wheat,30.0,93.49,4338.8,36.39,1477.8,77.9,98.3,44.8,40.6
Goa - East District 148,11304,1517.1,61.6,27.5,Pulses,30.0,124.24,1110.5,21.97,843.0,36.4,110.1,46.2,56.7
Uttarakhand - Hills District 149,23127,1530.5,61.1,25.5,Rice,30.0,220.82,4169.2,77.11,1169.3,37.0,106.1,34.3,47.1
Punjab - South District 150,41282,1198.1,60.0,29.5,Rice,43.1,283.76,5320.1,84.47,1766.8,49.2,103.2,58.9,33.3
Madhya Pradesh - Urban District 151,275881,1331.3,55.0,27.8,Rice,338.2,2139.4,43865.0,714.49,12608.4,39.6,108.6,99.4,0.0
Nagaland - Plateau District 152,21573,869.6,65.5,29.0,Wheat,35.3,103.67,3535.2,43.25,1841.8,76.8,108.3,36.4,29.5
Goa - East District 153,28753,1994.8,49.4,29.5,Rice,49.1,498.68,6983.6,146.34,1912.6,26.7,104.3,26.4,18.7
Punjab - Plains District 154,36787,1728.0,56.4,23.7,Rice,56.2,430.12,7674.8,146.65,2192.0,55.0,113.1,31.2,39.8
Jammu & Kashmir - Plateau District 155,15439,1048.1,69.6,24.8,Wheat,30.0,123.17,2661.1,34.98,1568.3,59.0,114.2,39.9,24.8
Bihar - Coastal District 156,8954,1263.3,52.4,26.6,Rice,30.0,205.26,3656.5,71.11,1326.5,54.7,108.4,38.0,28.9
West Bengal - South District 157,20867,1575.6,38.2,28.2,Rice,40.0,204.38,5990.4,80.32,1541.5,67.1,114.5,31.2,22.6
Gujarat - Hills District 158,26516,1615.6,57.8,25.1,Pulses,32.0,36.66,1398.8,15.91,878.7,39.7,113.5,62.6,7.1
Uttar Pradesh - North District 159,26434,386.8,65.1,21.5,Pulses,48.8,78.78,2452.3,32.61,1474.6,72.2,88.1,41.1,26.9
Jammu & Kashmir - Coastal District 160,38673,1182.2,54.2,30.8,Rice,50.7,348.63,8281.0,98.3,2173.9,51.1,99.4,56.0,0.0
Rajasthan - East District 161,2984,1549.8,82.0,22.3,Wheat,30.0,190.37,2422.6,48.14,1524.2,37.5,113.8,55.4,56.4
Karnataka - Delta District 162,15405,816.5,62.1,27.1,Wheat,30.0,138.68,2841.0,52.31,1428.6,86.8,92.9,30.9,38.8
Bihar - Plains District 163,18391,445.6,55.5,34.9,Wheat,30.0,88.48,3233.1,34.62,1621.5,79.1,108.5,48.2,19.0
Chhattisgarh - Coastal District 164,27234,559.7,80.4,25.1,Rice,33.1,150.49,3852.2,55.17,1281.4,83.6,111.2,40.7,16.5
Arunachal Pradesh - Plateau District 165,182502,1023.2,32.0,25.5,Maize,229.1,1555.84,30849.7,590.2,4379.1,46.5,121.7,88.1,0.0
Karnataka - Valley District 166,280601,1228.1,71.0,28.8,Rice,195.1,1213.06,25988.0,342.07,8087.8,54.2,105.5,90.5,0.0
Telangana - Rural District 167,66266,1512.9,84.9,27.9,Wheat,105.8,814.65,10172.4,218.44,5669.8,41.3,107.5,56.5,0.0
Delhi - West District 168,16615,739.4,54.4,27.8,Rice,32.3,156.62,4425.8,66.05,1187.4,52.7,110.4,47.7,45.6
Jammu & Kashmir - West District 169,16704,1148.6,51.9,31.8,Maize,30.0,164.33,3642.4,92.77,605.4,50.6,103.1,48.1,35.9
Bihar - Valley District 170,16971,919.0,41.4,26.5,Pulses,34.1,48.73,1544.8,24.95,1082.6,62.6,105.9,57.6,26.6
Jharkhand - South District 171,58452,851.2,72.0,29.7,Maize,129.1,812.73,12737.2,329.25,2651.0,55.9,101.2,67.5,17.0
Himachal Pradesh - Urban District 172,8997,1068.9,50.9,33.8,Rice,30.0,185.24,3505.6,73.99,1253.2,62.7,94.3,68.4,27.4
Sikkim - North District 173,63238,991.4,56.4,26.2,Wheat,73.6,340.12,7325.1,137.52,3673.1,60.3,100.0,59.5,6.9
Haryana - West District 174,93553,244.3,90.1,27.2,Maize,117.9,494.81,12614.6,220.34,2419.8,88.3,117.9,87.6,0.0
Uttar Pradesh - North District 175,20324,1860.5,38.0,31.9,Maize,30.0,309.79,3993.5,89.26,624.3,43.6,111.3,44.7,25.1
Haryana - Rural District 176,109944,504.3,79.4,34.6,Maize,230.4,1089.45,21239.3,691.54,4750.5,78.6,108.1,85.8,0.0
Chhattisgarh - Central District 177,38269,852.3,76.2,26.2,Wheat,30.0,86.06,2450.8,34.6,1505.2,78.0,107.7,45.2,14.0
Assam - South District 178,38700,726.6,60.5,27.2,Wheat,64.7,240.23,6673.2,100.24,3459.3,67.6,118.7,48.2,15.0
Manipur - North District 179,28073,1290.3,51.6,23.6,Rice,41.1,324.84,6302.8,110.88,1694.6,62.6,105.2,45.0,25.7
Goa - Delta District 180,19487,936.4,59.4,33.0,Wheat,30.3,100.67,3345.4,46.33,1502.0,72.1,110.2,25.3,33.3
Maharashtra - Rural District 181,15928,1149.5,79.6,24.9,Wheat,30.0,195.8,2696.5,58.22,1481.1,41.2,107.3,44.3,75.0
Tamil Nadu - Central District 182,39454,995.7,48.7,28.5,Rice,70.7,408.68,10968.5,138.61,2813.8,76.5,114.1,50.1,15.8
Himachal Pradesh - Coastal District 183,28894,1173.7,22.4,31.1,Wheat,48.6,163.47,6436.1,65.04,2518.1,52.3,108.4,55.8,26.6
Telangana - Plains District 184,46960,1788.8,57.5,19.0,Wheat,86.7,693.86,7775.5,167.01,4156.3,17.0,114.0,29.6,22.3
Tamil Nadu - Central District 185,16683,1567.0,52.0,32.4,Wheat,30.0,191.47,2707.0,45.62,1577.8,33.3,121.4,53.3,50.8
Nagaland - East District 186,12332,1027.8,58.8,23.5,Wheat,30.0,143.35,3051.5,48.47,1573.5,48.1,116.4,30.3,13.2
Punjab - Plains District 187,11264,1443.2,17.2,29.5,Wheat,30.0,188.41,4217.7,53.92,1595.8,45.3,97.9,55.9,50.0
Himachal Pradesh - West District 188,12774,872.3,56.8,32.1,Rice,30.0,128.4,4532.1,65.11,1137.7,69.7,105.0,50.5,19.4
Tamil Nadu - Urban District 189,43926,1174.6,60.4,32.8,Wheat,62.2,268.62,5894.2,86.21,2975.6,71.8,96.9,34.1,14.7
Odisha - Hills District 190,9761,1279.3,59.6,29.6,Wheat,30.0,171.96,3310.5,48.7,1586.1,55.8,104.5,52.5,41.7
West Bengal - North District 191,32867,861.8,58.5,29.0,Pulses,30.0,78.3,1493.5,20.69,890.0,67.0,100.2,92.5,34.3
Arunachal Pradesh - Plains District 192,22820,1350.2,73.4,25.4,Rice,48.1,368.9,5111.2,97.59,2010.1,40.2,116.4,39.5,41.2
